order_id,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,pickup_time,dropoff_time,driver_id,travel_time_minutes,distance_km,hour,weekday
order_1,13.637502277361806,119.0532705135064,17.98928903895593,119.28330072605388,2023-07-02 06:18:15,2023-07-02 14:26:31.352909,driver_8,488.27254848333337,482.18648823641286,6,6
order_2,17.485414477795686,121.51027948641256,15.692024677004367,119.41059764207232,2023-07-16 05:35:52,2023-07-16 12:42:16.345931,driver_17,426.4057655166667,299.31498981469633,5,6
order_3,16.91335549593115,120.4038511413744,16.223632597248407,121.28162921975655,2023-07-10 15:41:36,2023-07-10 18:19:19.643490,driver_3,157.7273915,120.83939023669298,15,0
order_4,12.117299418292497,121.2138063162143,15.053011289242704,120.43370077669924,2023-07-31 09:52:56,2023-07-31 19:39:06.035949,driver_16,586.1672658166666,335.58563572849647,9,0
order_5,13.577068991600918,120.8616197208045,17.347411903661097,121.48577209317054,2023-07-09 06:22:04,2023-07-09 15:33:38.507965,driver_3,551.57513275,422.5423302877652,6,6
order_6,13.144986961768051,119.14032254594868,14.239089373257324,120.00180853580773,2023-07-03 02:46:48,2023-07-03 04:58:17.906542,driver_10,131.49844236666667,152.76468097669442,2,0
order_7,17.464458744404084,121.33717653588948,17.604423032041403,121.6390390835332,2023-07-15 01:27:09,2023-07-15 02:33:08.286545,driver_3,65.98810908333333,35.598609558012356,1,5
order_8,14.226885710228572,118.9897600484684,13.949040558292255,119.9247995545574,2023-07-31 23:14:41,2023-08-01 02:36:53.086500,driver_9,202.20144166666665,105.55291526390889,23,0
order_9,17.312880705287178,118.04190391995108,15.404750595153542,120.37181094513532,2023-07-28 22:19:21,2023-07-29 05:49:15.449113,driver_16,449.90748521666666,326.4143097900074,22,4
order_10,14.381510871871996,118.77636589539864,17.061399859684474,121.26914917783448,2023-07-06 13:58:53,2023-07-07 02:21:12.741182,driver_17,742.3290197,399.1337295703378,13,3
order_11,16.414368431483478,121.87901253768771,17.396855849844933,119.15994482573984,2023-07-17 14:08:33,2023-07-17 21:52:34.304824,driver_2,464.02174706666665,309.41348018510473,14,0
order_12,13.16482989530208,119.4633561400604,14.057195876499808,119.6850426407585,2023-07-08 01:23:52,2023-07-08 04:04:07.790217,driver_3,160.26317028333332,101.6003179953572,1,5
order_13,18.32934449639872,118.09848804678082,13.493316625400476,119.2938292414087,2023-07-11 21:48:27,2023-07-12 15:26:56.460565,driver_3,1058.4910094166667,550.2306204685675,21,1
order_14,17.214683244163204,121.28861735039938,14.74143094522586,121.05073872373389,2023-07-07 18:05:39,2023-07-08 00:11:51.902897,driver_16,366.2150482833333,274.8684728065287,18,4
order_15,17.564644657816885,118.83596670286794,16.739210562452463,118.26936917090102,2023-07-09 14:31:24,2023-07-09 15:55:48.780287,driver_19,84.41300478333332,109.45044441625842,14,6
order_16,13.067312908097168,120.03507464462454,18.023747454605324,121.01981417585414,2023-07-05 05:54:54,2023-07-05 23:31:19.032656,driver_6,1056.4172109333333,558.5254474727859,5,2
order_17,14.876525147321388,121.13868200058604,15.976795628328915,120.69997133470017,2023-07-14 06:18:48,2023-07-14 08:39:47.699740,driver_16,140.99499566666665,130.53685191804962,6,4
order_18,17.038829432278337,120.90244732281904,18.18927406240096,119.8884937070621,2023-07-02 10:48:11,2023-07-02 15:32:35.340752,driver_5,284.4056792,166.71024029133008,10,6
order_19,13.248325250742392,118.9561195605585,18.128332659795724,119.24689262176057,2023-07-05 04:45:30,2023-07-05 15:45:41.373471,driver_6,660.18955785,540.9007326260946,4,2
order_20,12.315944827599642,119.89930333294838,16.45586790316265,119.97242262318744,2023-07-09 06:09:23,2023-07-09 18:18:23.874867,driver_5,729.0145811166666,458.122491899462,6,6
order_21,12.963718996127886,118.96412124434728,14.37606683460672,118.5620808921536,2023-07-02 10:07:00,2023-07-02 12:42:52.651147,driver_10,155.87751911666666,162.19737984822032,10,6
order_22,12.27952232607053,118.31968622906685,15.69868179175033,121.19080347314502,2023-07-09 04:14:34,2023-07-09 20:00:36.598087,driver_20,946.04330145,489.17388522036475,4,6
order_23,16.726958182352085,119.08990954288188,17.232285540289475,120.142633357962,2023-07-25 22:20:55,2023-07-26 02:49:49.599255,driver_15,268.9099875833333,125.28580577064311,22,1
order_24,12.114793577452868,119.77246318048036,15.822761213998024,120.04886099358367,2023-07-15 23:29:39,2023-07-16 09:31:16.385365,driver_7,601.6230894166667,411.3322545740163,23,5
order_25,17.092458733591954,120.60999642467624,15.531813686882897,118.43026019380338,2023-07-28 10:09:40,2023-07-28 15:02:07.230549,driver_17,292.45384248333335,289.97159969871734,10,4
order_26,12.295115701446454,120.83566766627172,17.05688763836952,119.5327853792442,2023-07-20 01:28:14,2023-07-20 20:35:42.106377,driver_13,1147.4684396166667,545.2282627840242,1,3
